"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 14 11:57:03 EET 2023","Thu Sep 14 11:57:09 EET 2023","5138","","tests.TestsWeb","","tests.TestsWeb","testCashNumbersOwner","Оплата тура с вводом цифр в поле Владелец",""
"failed","Thu Sep 14 11:56:56 EET 2023","Thu Sep 14 11:57:02 EET 2023","5464","","tests.TestsWeb","","tests.TestsWeb","testCreditNumbersOwner","Кредит за тур с вводом цифр в поле Владелец",""
"passed","Thu Sep 14 11:57:34 EET 2023","Thu Sep 14 11:57:35 EET 2023","612","","tests.TestsWeb","","tests.TestsWeb","testCashEmptyFields","Оплата тура с незаполнеными полями",""
"passed","Thu Sep 14 11:56:39 EET 2023","Thu Sep 14 11:56:40 EET 2023","637","","tests.TestsWeb","","tests.TestsWeb","testCreditEmptyFields","Кредит за тур с незаполнеными полями",""
"failed","Thu Sep 14 11:57:10 EET 2023","Thu Sep 14 11:57:26 EET 2023","15959","","tests.TestsWeb","","tests.TestsWeb","testCreditValidCardDeclined","Кредит за тур с валидной картой с статусом DECLINED",""
"failed","Thu Sep 14 11:57:29 EET 2023","Thu Sep 14 11:57:34 EET 2023","5000","","tests.TestsWeb","","tests.TestsWeb","testCreditSymbolsOwner","Кредит за тур с вводом специальных символов поле Владелец",""
"passed","Thu Sep 14 11:56:30 EET 2023","Thu Sep 14 11:56:31 EET 2023","1340","","tests.TestsWeb","","tests.TestsWeb","testCreditYearPlus6","Кредит за тур по карте с годом + 6 лет от текущего",""
"passed","Thu Sep 14 11:56:32 EET 2023","Thu Sep 14 11:56:32 EET 2023","833","","tests.TestsWeb","","tests.TestsWeb","testCreditLastYear","Кредит за тур по карте с истекшим сроком действия (год)",""
"failed","Thu Sep 14 11:57:55 EET 2023","Thu Sep 14 11:58:00 EET 2023","5080","","tests.TestsWeb","","tests.TestsWeb","testCashMonth00","Оплата тура по карте с невалидным месяцем 00",""
"failed","Thu Sep 14 11:56:51 EET 2023","Thu Sep 14 11:56:56 EET 2023","5132","","tests.TestsWeb","","tests.TestsWeb","testCreditMonth00","Кредит за тур по карте с невалидным месяцем 00",""
"passed","Thu Sep 14 11:57:27 EET 2023","Thu Sep 14 11:57:28 EET 2023","718","","tests.TestsWeb","","tests.TestsWeb","testCreditLastMonth","Кредит за тур по карте с истекшим сроком действия (месяц)",""
"passed","Thu Sep 14 11:57:50 EET 2023","Thu Sep 14 11:57:54 EET 2023","3353","","tests.TestsWeb","","tests.TestsWeb","testCreditInvalidCard","Кредит за тур по несуществующей карте",""
"passed","Thu Sep 14 11:57:09 EET 2023","Thu Sep 14 11:57:10 EET 2023","991","","tests.TestsWeb","","tests.TestsWeb","testCashUnfilledCard","Оплата тура по не полностью заполненной карте",""
"passed","Thu Sep 14 11:57:26 EET 2023","Thu Sep 14 11:57:27 EET 2023","730","","tests.TestsWeb","","tests.TestsWeb","testCashYearPlus6","Оплата тура по карте с годом + 6 лет от текущего",""
"failed","Thu Sep 14 11:56:34 EET 2023","Thu Sep 14 11:56:38 EET 2023","4140","","tests.TestsWeb","","tests.TestsWeb","testCashValidCardApproved","Оплата тура с валидной картой с статусом APPROVED",""
"passed","Thu Sep 14 11:57:54 EET 2023","Thu Sep 14 11:57:55 EET 2023","688","","tests.TestsWeb","","tests.TestsWeb","testCreditEmptyYear","Кредит за тур по карте с незаполненным полем год",""
"passed","Thu Sep 14 11:57:54 EET 2023","Thu Sep 14 11:57:54 EET 2023","764","","tests.TestsWeb","","tests.TestsWeb","testCashLastYear","Оплата тура по карте с истекшим сроком действия (год)",""
"passed","Thu Sep 14 11:56:33 EET 2023","Thu Sep 14 11:56:34 EET 2023","696","","tests.TestsWeb","","tests.TestsWeb","testCashEmptyOwner","Оплата тура с пустым полем Владелец",""
"passed","Thu Sep 14 11:57:36 EET 2023","Thu Sep 14 11:57:37 EET 2023","740","","tests.TestsWeb","","tests.TestsWeb","testCash1CVC","Оплата тура с вводом одной цифры в поле CVC/CVV",""
"passed","Thu Sep 14 11:57:28 EET 2023","Thu Sep 14 11:57:29 EET 2023","712","","tests.TestsWeb","","tests.TestsWeb","testCreditEmptyMonth","Кредит за тур по карте с незаполненым полем месяц",""
"passed","Thu Sep 14 11:56:41 EET 2023","Thu Sep 14 11:56:51 EET 2023","9818","","tests.TestsWeb","","tests.TestsWeb","testCashInvalidCard","Оплата тура по несуществующей карте",""
"passed","Thu Sep 14 11:56:38 EET 2023","Thu Sep 14 11:56:39 EET 2023","725","","tests.TestsWeb","","tests.TestsWeb","testCashLastMonth","Оплата тура карте с истекшим сроком действия (месяц)",""
"passed","Thu Sep 14 11:57:37 EET 2023","Thu Sep 14 11:57:37 EET 2023","694","","tests.TestsWeb","","tests.TestsWeb","testCash2CVC","Оплата тура с вводом двух цифр в поле CVC/CVV",""
"passed","Thu Sep 14 11:56:40 EET 2023","Thu Sep 14 11:56:41 EET 2023","794","","tests.TestsWeb","","tests.TestsWeb","testCredit2CVC","Кредит за тур с вводом двух цифр в поле CVC/CVV",""
"passed","Thu Sep 14 11:57:02 EET 2023","Thu Sep 14 11:57:03 EET 2023","964","","tests.TestsWeb","","tests.TestsWeb","testCreditUnfilledCard","Кредит за тур по не полностью заполненной карте",""
"passed","Thu Sep 14 11:56:32 EET 2023","Thu Sep 14 11:56:33 EET 2023","831","","tests.TestsWeb","","tests.TestsWeb","testCashEmptyMonth","Оплата тура по карте с незаполненым полем месяц",""
"failed","Thu Sep 14 11:57:42 EET 2023","Thu Sep 14 11:57:50 EET 2023","7810","","tests.TestsWeb","","tests.TestsWeb","testCreditValidCardApproved","Кредит за тур с валидной картой с статусом APPROVED",""
"passed","Thu Sep 14 11:57:09 EET 2023","Thu Sep 14 11:57:09 EET 2023","843","","tests.TestsWeb","","tests.TestsWeb","testCashEmptyCVC","Оплата тура с пустым значением в поле CVC/CVV",""
"passed","Thu Sep 14 11:57:02 EET 2023","Thu Sep 14 11:57:02 EET 2023","782","","tests.TestsWeb","","tests.TestsWeb","testCashEmptyYear","Оплата тура по карте с незаполненным полем год",""
"passed","Thu Sep 14 11:57:29 EET 2023","Thu Sep 14 11:57:29 EET 2023","736","","tests.TestsWeb","","tests.TestsWeb","testCreditEmptyOwner","Кредит за тур с пустым полем Владелец",""
"passed","Thu Sep 14 11:56:40 EET 2023","Thu Sep 14 11:56:40 EET 2023","710","","tests.TestsWeb","","tests.TestsWeb","testCredit1CVC","Кредит за тур с вводом одной цифры в поле CVC/CVV",""
"failed","Thu Sep 14 11:58:00 EET 2023","Thu Sep 14 11:58:16 EET 2023","15982","","tests.TestsWeb","","tests.TestsWeb","testCashValidCardDeclined","Оплата тура с валидной картой с статусом DECLINED",""
"passed","Thu Sep 14 11:57:35 EET 2023","Thu Sep 14 11:57:36 EET 2023","692","","tests.TestsWeb","","tests.TestsWeb","testCreditEmptyCVC","Кредит за тур с пустым значением в поле CVC/CVV",""
"failed","Thu Sep 14 11:57:37 EET 2023","Thu Sep 14 11:57:42 EET 2023","5108","","tests.TestsWeb","","tests.TestsWeb","testCashSymbolsOwner","Оплата тура с вводом специальных символов в поле Владелец",""
